addresss,lattitude,longitude
대구광역시 서구 달구벌대로 1807 튼튼병원,35.8612639802915,128.5637820802915
대구광역시 서구 내당동 1290 광장코아,35.85753568029149,128.5529098802915
대구광역시 서구 국채보상로 250-1,35.8722015802915,128.5597166802915
대구광역시 서구 국채보상로 257 구청,35.8730895802915,128.5605197802915
대구광역시 서구 국채보상로 257 구청,35.8730895802915,128.5605197802915
대구광역시 서구 평리동 1621-12,35.8744915802915,128.5572277802915
대구광역시 서구 서대구로 156 로또명가 앞,35.8732499802915,128.5565513802915
대구광역시 서구 염색공단로 21 비산7동,35.8895229802915,128.5548617802915
대구광역시 서구 서대구로 295 북부정류장,35.8855769802915,128.5565849802915
대구광역시 서구 팔달로 54 이마트트레이더스,35.89122598029149,128.5573192802915
대구광역시 서구 국채보상로 117,35.8703847802915,128.5453172802915
대구광역시 서구 원대로13길 2 금류타운,35.8843385802915,128.5820174802915
