위도,경도,설치_주소,세부위치,동명,설치_유형,담당부서,기준일자
35.84061122,128.5531478,대구광역시 달서구 야외음악당로 38,행정복지센터 내,성당동,폐형광등.폐건전지통합,대구광역시 달서구 청소과,2021-01-28
35.85569114,128.5721965,대구광역시 달서구 성당로51길 32,행정복지센터 내,두류1.2동,폐형광등.폐건전지통합,대구광역시 달서구 청소과,2021-01-28
35.84994411,128.5502901,대구광역시 달서구 당산로 176,행정복지센터 내,두류3동,폐형광등.폐건전지통합,대구광역시 달서구 청소과,2021-01-28
35.8410174,128.5431658,대구광역시 달서구 당산로 37-14,행정복지센터 내,본리동,폐형광등.폐건전지통합,대구광역시 달서구 청소과,2021-01-28
35.8510266,128.5421825,대구광역시 달서구 감삼북길 119-10,행정복지센터 내,감삼동,폐형광등.폐건전지통합,대구광역시 달서구 청소과,2021-01-28
35.85578734,128.5398014,대구광역시 달서구 와룡로54길 28,행정복지센터 내,죽전동,폐형광등.폐건전지통합,대구광역시 달서구 청소과,2021-01-28
35.84332056,128.5300194,대구광역시 달서구 장기로 277,행정복지센터 내,장기동,폐형광등.폐건전지통합,대구광역시 달서구 청소과,2021-01-28
35.85663686,128.5312265,대구광역시 달서구 용산로 212-7,행정복지센터 내,용산1동,폐형광등.폐건전지통합,대구광역시 달서구 청소과,2021-01-28
35.85843068,128.5229898,대구광역시 달서구 선원로 278,행정복지센터 내,용산2동,폐형광등.폐건전지통합,대구광역시 달서구 청소과,2021-01-28
35.8516518,128.5106562,대구광역시 달서구 달구벌대로 1309,행정복지센터 내,이곡1동,폐형광등.폐건전지통합,대구광역시 달서구 청소과,2021-01-28
35.85580334,128.500829,대구광역시 달서구 계대동문로 77,행정복지센터 내,이곡2동,폐형광등.폐건전지통합,대구광역시 달서구 청소과,2021-01-28
35.85896631,128.4988339,대구광역시 달서구 선원로 60,행정복지센터 내,신당동,폐형광등.폐건전지통합,대구광역시 달서구 청소과,2021-01-28
35.81951189,128.5228333,대구광역시 달서구 조암남로 97,행정복지센터 내,월성1동,폐형광등.폐건전지통합,대구광역시 달서구 청소과,2021-01-28
35.83095298,128.5282767,대구광역시 달서구 월성로 65,행정복지센터 내,월성2동,폐형광등.폐건전지통합,대구광역시 달서구 청소과,2021-01-28
35.81222021,128.5228075,대구광역시 달서구 진천로9길 33,행정복지센터 내,진천동,폐형광등.폐건전지통합,대구광역시 달서구 청소과,2021-01-28
35.81426653,128.5450082,대구광역시 달서구 상인서로 40,행정복지센터 내,상인1동,폐형광등.폐건전지통합,대구광역시 달서구 청소과,2021-01-28
35.81255741,128.5362546,대구광역시 달서구 상원로 27,행정복지센터 내,상인2동,폐형광등.폐건전지통합,대구광역시 달서구 청소과,2021-01-28
35.81006963,128.5502023,대구광역시 달서구 상인로 25,행정복지센터 내,상인3동,폐형광등.폐건전지통합,대구광역시 달서구 청소과,2021-01-28
35.80748297,128.5321927,대구광역시 달서구 한실로 53,행정복지센터 내,도원동,폐형광등.폐건전지통합,대구광역시 달서구 청소과,2021-01-28
35.82922897,128.554762,대구광역시 달서구 중흥로8길 41,행정복지센터 내,송현1동,폐형광등.폐건전지통합,대구광역시 달서구 청소과,2021-01-28
35.83278631,128.5455779,대구광역시 달서구 월배로83길 120-14,행정복지센터 내,송현2동,폐형광등.폐건전지통합,대구광역시 달서구 청소과,2021-01-28
35.83443829,128.5410399,대구광역시 달서구 구마로26길 62,행정복지센터 내,본동,폐형광등.폐건전지통합,대구광역시 달서구 청소과,2021-01-28
