시도명,시군구명,도로명(가로)명,설치주소,설치지점,쓰레기통 종류,관리기관명,관리기관전화번호
대구광역시,달성군,비슬로,화원읍 비슬로 2705(1번출구),도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,비슬로,화원읍 비슬로 2679,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,비슬로,화원읍 비슬로 2674,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,비슬로,화원읍 비슬로 2611,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,비슬로,화원읍 비슬로 2620,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,비슬로,화원읍 비슬로 257,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,비슬로,화원읍 비슬로 2582,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,비슬로,화원읍 비슬로 2519,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,비슬로,화원읍 비슬로 506길 14,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,비슬로,화원읍 비슬로 2490,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,비슬로,화원읍 비슬로 2428,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,사문진로,화원읍 사문진로 359,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,사문진로,화원읍 사문진로 354,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,사문진로,화원읍 성산리 83,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,사문진로,화원읍 성산리 310,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,사문진로,화원읍 성산리 310,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,명천로,화원읍 명천로 243,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,비슬로,화원읍 비슬로 2495,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,명천로,화원읍 명천로 181,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,명천로,화원읍 명천로17길 7-9,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,명천로,화원읍 명천로 57,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,명천로,화원읍 명천로 11,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,명천로,화원읍 명천로 231,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,명곡로,화원읍 명곡로 30,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,화암로,화원읍 화암로 120,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,화암로,화원읍 화암로 122,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,명천로,화원읍 명천로 11,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,비슬로,화원읍 비슬로 2487,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,성천로,화원읍 성천로 8,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
대구광역시,달성군,비슬로,화원읍 비슬로 2451,도로(가로)변,일반쓰레기수거용,달성군청,053-668-2714
