시도명,시군구명,설치 위치,설치년도,수거품목,관리기관명,관리기관전화번호,기준일자
대구광역시,달성군,"대구광역시 달성군 화원읍 화원로 10,영남맨션",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 비슬로525길 21,동산맨션",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 비슬로525길 2,평광1차현대",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 비슬로525길 37,천내평광타운2차",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 화원로 26,천내우방맨션",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 비슬로525길 48,천내에덴타운",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 화원로 36,창신맨션",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 화원로7길 2,보성타운",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 사문진로6길 17,화원한샘타운",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 화원로3길 66,화원태왕리더스",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 비슬로 2679,한우아파트",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 비슬로 2715,청구청룡맨션",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 비슬로539길 17,삼우청솔타운",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 비슬로539길 5,청구청산맨션",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 비슬로539길 35,대곡역래미안",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 비슬로539길 38,신동아파밀리에",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 성화로6길 5,화원대백맨션",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 성화로4길 13,화원태왕타운",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 사문진로 349,화원삼주타운",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 비슬로491길 13,성화한빛타운",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 명곡로 11,명곡미래빌1단지",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 명천로 231,명곡미래빌2단지",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 명곡로 30,명곡미래빌3단지",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 화암로 120,명곡미래빌4단지",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 명천로 243,명곡미래빌5단지",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 비슬로 2674,청구청탑맨션",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 명천로 57,대곡역그린빌",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
대구광역시,달성군,"대구광역시 달성군 화원읍 성암로 25,달성본리주공2단지",2011,"폐형광등, 폐건전지",달성군청,053-668-2712,2019-11-27
