연번,동 별 ,도로명주소,건물명
1,내당1동,대구광역시 서구 통학로 35 ,내당1동주민센터
2,내당1동,대구광역시 서구 달구벌대로357길 22,두류초등학교
3,내당1동,대구광역시 서구 통학로 46,황제맨션
4,내당1동,대구광역시 서구 서대구로8길 49,보성홍실(1차)
5,내당1동,대구광역시 서구 통학로 39,보성홍실(2차)
6,내당1동,대구광역시 서구 서대구로8길 15,내당시영아파트
7,내당1동,대구광역시 서구 달구벌대로365길 3,서구종합사회복지관
8,내당2.3동,대구광역시 서구 큰장로15길 11-1,내당2.3동주민센터
9,내당2.3동,대구광역시 서구 달구벌대로377안길 10,보라(제림)아파트
10,내당2.3동,대구광역시 서구 달서로 33,내당천주교회
11,내당4동,대구광역시 서구 서대구로3길 46,내당4동주민센터
12,내당4동,대구광역시 서구 평리로54길 16,경운초등학교
13,내당4동,대구광역시 서구 달구벌대로 1725,달성고교
14,내당4동,대구광역시 서구 서대구로3길 5,서부교육청
15,내당4동,대구광역시 서구 서대구로3길 32,경운중학교
16,내당4동,대구광역시 서구 평리로54길 21,대평아파트
17,내당4동,대구광역시 서구 서대구로 25,삼익맨션아파트
18,내당4동,대구광역시 서구 달구벌대로 1707,광장타운1차
19,내당4동,대구광역시 서구 달구벌대로377길 8,광장타운2차
20,내당4동,대구광역시 서구 평리로 236,삼익뉴타운
21,내당4동,대구광역시 서구 당산로 260,코오롱맨션
22,내당4동,대구광역시 서구 평리로 214,내당광명아파트
23,내당4동,대구광역시 서구 서대구로3길 76,전원아파트
24,내당4동,대구광역시 서구 달구벌대로377길 29,내당동화타운
25,내당4동,대구광역시 서구 당산로 206,대진맨션아파트
26,내당4동,대구광역시 서구 당산로 273-10,대우아파트
27,내당4동,대구광역시 서구 평리로 214,내 당 광 명
28,내당4동,대구광역시 서구 평리로 236,삼익뉴타운
29,비산1동,대구광역시 서구 북비산로65길 18,비산1동주민센터
30,비산1동,대구광역시 서구 북비산로61길 34,비산시영아파트
31,비산1동,대구광역시 서구 달서로45길 30,비봉초등학교
32,비산1동,대구광역시 서구 통학로48길 7,북비산초등학교
33,비산2.3동,대구광역시 서구 국채보상로81길 43,비산2.3동주민센터
34,비산2.3동,대구광역시 서구 달서로26길 25,서부초등학교
