설치위치(주택명),설치주소,설치년도,수거품목
봉산뜨란채,"대구광역시 중구 봉산문화길 69(봉산동,봉산뜨란채아파트)",2015,폐건전지
삼정그린코아,"대구광역시 중구 동덕로30길 53(동인동,동인동삼정그린코아아파트)",2015,폐건전지
동산,"대구광역시 중구 달구벌대로 2035(동산동,동산아파트)",2015,폐건전지
삼승슈퍼타워,"대구광역시 중구 신암로 6(동인동1가, 삼승슈퍼타워)",2015,폐건전지
광명,"대구광역시 중구 큰장로 74(대신동,광명아파트)",2015,폐건전지
가온어린이집,"대구광역시 중구 달구벌대로 1970 , 206동 1층(남산동, 남산휴먼시아2단지)",2016,폐건전지
꿈나무어린이집,대구광역시 중구 남산로7길 35 (남산동),2016,폐건전지
나현어린이집,대구광역시 중구 남산로13길 28 (남산동),2016,폐건전지
남산교회어린이집,대구광역시 중구 관덕정길 16 (남산동),2016,폐건전지
누리마루어린이집,대구광역시 중구 남산로1길 46-5 (남산동),2016,폐건전지
다람어린이집,대구광역시 중구 국채보상로150길 68 (삼덕동3가),2016,폐건전지
대구광역시청어린이집,대구광역시 중구 동덕로 182 (동인동1가),2016,폐건전지
대구삼성어린이집,대구광역시 중구 달구벌대로 2016-40 (남산동),2016,폐건전지
대구프뢰벨어린이집,대구광역시 중구 중앙대로62길 15 (남산동),2016,폐건전지
대봉어린이집,대구광역시 중구 대봉로43안길 10 (대봉동),2016,폐건전지
동그라미어린이집,"대구광역시 중구 달구벌대로 1960 , 103동 101호 (남산동, 남산휴먼시아1단지)",2016,폐건전지
동막어린이집,대구광역시 중구 국채보상로149길 34-10 (동인동3가),2016,폐건전지
동산의료원어린이집,"대구광역시 중구 달성로 56, 동산의료원 내 동산어린이집 (동산동)",2016,폐건전지
동원어린이집,대구광역시 중구 태평로4길 15-23 (달성동),2016,폐건전지
동인어린이집,"대구광역시 중구 국채보상로143길 74-15 , 101호 (동인동3가, 협화동인빌라)",2016,폐건전지
동화마을어린이집,대구광역시 중구 국채보상로 685-5 (동인동2가),2016,폐건전지
백합어린이집,대구광역시 중구 남산로4길 111 (남산동),2016,폐건전지
비둘기어린이집,대구광역시 중구 명륜로26안길 12 (남산동),2016,폐건전지
사랑나무어린이집,"대구광역시 중구 달구벌대로 1950 , 104동 102호(남산동,남산그린타운)",2016,폐건전지
사랑어린이집,"대구광역시 중구 동덕로30길 53 , 101동 101호(동인동4가,동인삼정그린코아)",2016,폐건전지
삼덕청아람어린이집,대구광역시 중구 달구벌대로447길 77 삼덕청아람리슈빌 내 의무보육시설,2016,폐건전지
색연필어린이집,대구광역시 중구 봉산문화2길 41 (봉산동),2016,폐건전지
센트로팰리스어린이집,"대구광역시 중구 대봉로 260 , 103동 1층 (대봉동,센트로팰리스)",2016,폐건전지
스타클래스어린이집,"대구광역시 중구 남산로 30 , 103동 1층 (남산동,극동스타클래스남산)",2016,폐건전지
아이비어린이집,대구광역시 중구 남산로3안길 20 (남산동),2016,폐건전지
아이사랑어린이집,"대구광역시 중구 명덕로55길 25 , 102동 103호 (대봉동,대봉화성파크드림)",2016,폐건전지
아이숲어린이집,대구광역시 중구 동덕로14길 18-1 (대봉동),2016,폐건전지
자이도담어린이집,"대구광역시 중구 달구벌대로 1955 , 103동 102호(대신동,대신센트럴자이)",2016,폐건전지
창의나라어린이집,대구광역시 중구 대봉로 228-9 (대봉동),2016,폐건전지
청운어린이집,"대구광역시 중구 동덕로 33 , 2동 105호 (대봉동,청운맨션)",2016,폐건전지
초록마을어린이집,"대구광역시 중구 달구벌대로 1950 , 106동 1호 (남산동,남산그린타운)",2016,폐건전지
태왕아이사랑어린이집,"대구광역시 중구 달구벌대로 1975 , 105동 102호 (대신동,태왕아너스스카이)",2016,폐건전지
하늘사랑어린이집,대구광역시 중구 남산로7길 75 (남산동),2016,폐건전지
하니비어린이집,"대구광역시 중구 달구벌대로 1975 , 105동 103호 (대신동,태왕아너스스카이)",2016,폐건전지
할렐루야어린이집,"대구광역시 중구 달구벌대로447길 77 , 105동 103호 (삼덕동3가,삼덕청아람리슈빌)",2016,폐건전지
해맑은어린이집,"대구광역시 중구 봉산문화길 69 , 102동 102호 (봉산동,봉산뜨란채)",2016,폐건전지
행복한어린이집,대구광역시 중구 동덕로30길 63-11 (동인동4가),2016,폐건전지
황실친환경어린이집,"대구광역시 중구 남산로13길 17 , 105동 109호 (남산동,보성황실타운)",2016,폐건전지
효성해링턴어린이집,"대구광역시 중구 중앙대로66길 20 , 102동 1층 (남산동, 반월당효성해링턴플레이스)",2016,폐건전지
대구 수창초등학교병설 유치원,대구광역시 중구 달성로22길 30 (수창동),2016,폐건전지
대구초등학교병설 유치원,대구광역시 중구 명륜로23길 80 (봉산동) ,2016,폐건전지
대구 종로초등학교병설 유치원,대구광역시 중구 경상감영길 49 (서문로1가),2016,폐건전지
대구 동인초등학교병설 유치원,대구광역시 중구 국채보상로 728 (동인동4가),2016,폐건전지
대구 동덕초등학교병설 유치원 ,대구광역시 중구 동덕로26길 20 (삼덕동2가),2016,폐건전지
성모 유치원,대구광역시 중구 남산로4길 90 (남산동),2016,폐건전지
서문 유치원,대구광역시 중구 국채보상로93길 9 (대신동),2016,폐건전지
계성 유치원,"대구광역시 중구 달성로 15, 계성유치원 앞(대신동)",2016,폐건전지
YMCA 유치원,대구광역시 중구 중앙대로 375 (덕산동),2016,폐건전지
원만사 유치원,대구광역시 중구 달구벌대로 2013 (동산동),2016,폐건전지
보나 유치원,대구광역시 중구 남산로7길 86 (남산동),2016,폐건전지
대구 중구청(녹색환경과),대구광역시 중구 국채보상로139길 1 (동인동2가),2016,폐건전지
경북여자고등학교,대구광역시 중구 남산1동 714-2,2017,"폐형광등, 폐건전지"
대구초등학교,대구광역시 중구 봉산동 57,2017,"폐형광등, 폐건전지"
덕영치과,대구광역시 중구 국채보상로 511 (서문로2가),2017,"폐형광등, 폐건전지"
대구제일중학교,대구광역시 중구 명륜로23길 16,2017,"폐형광등, 폐건전지"
보성황실타운,대구광역시 중구 남산로13길 17,2017,"폐형광등, 폐건전지"
대신동 태왕아너스스카이,대구광역시 중구 달구벌대로 1975,2017,"폐형광등, 폐건전지"
청운아파트,대구광역시 중구 동덕로 33,2017,"폐형광등, 폐건전지"
보성송림맨션,대구광역시 중구 남산로4길 91,2017,"폐형광등, 폐건전지"
동인시영아파트,대구광역시 중구 국채보상로149길 50,2017,"폐형광등, 폐건전지"
77태평아파트,대구광역시 중구 태평로 205,2017,"폐형광등, 폐건전지"
대구맨션,대구광역시 중구 명륜로 154,2017,"폐형광등, 폐건전지"
봉산뜨란채아파트,대구광역시 중구 봉산문화길 69,2017,"폐형광등, 폐건전지"
반월당 sk허브스카이아파트,대구광역시 중구 중앙대로 323,2017,"폐형광등, 폐건전지"
대봉태왕아너스 아파트,대구광역시 중구 동덕로 55,2017,"폐형광등, 폐건전지"
대신광명아파트 ,대구광역시 중구 큰장로 74,2017,"폐형광등, 폐건전지"
대신센트럴자이아파트,대구광역시 중구 달구벌대로 1955,2017,"폐형광등, 폐건전지"
도원아파트,대구광역시 중구 태평로 56,2017,"폐형광등, 폐건전지"
남산그린아파트,대구광역시 중구 달구벌대로 1950,2017,"폐형광등, 폐건전지"
효성해링턴,대구광역시 중구 중앙대로66길 20,2017,"폐형광등, 폐건전지"
남산병원,대구광역시 중구 남산로13길 9 (남산동),2017,"폐형광등, 폐건전지"
경북사대부설초등학교,대구광역시 중구 달구벌대로 2150,2017,"폐형광등, 폐건전지"
대한요양병원,"대구광역시 중구 중앙대로 297, 3등~7층 (남산동, 대한내과빌딩)",2017,"폐형광등, 폐건전지"
동인초등학교,대구광역시 중구 국채보상로 728,2017,"폐형광등, 폐건전지"
분홍빛으로 병원,대구광역시 중구 동덕로 141 (삼덕동2가),2017,"폐형광등, 폐건전지"
동산병원,"대구광역시 중구 달성로 56 (동산동, 계명대학교동산의료원)",2017,"폐형광등, 폐건전지"
대웅캐슬,대구광역시 중구 국채보상로149길 5,2018,"기타 재활용, 폐건전지"
베네치아,대구광역시 중구 동덕로36길 112,2018,"기타 재활용, 폐건전지"
초원하이츠빌,대구광역시 중구 국채보상로 736-35,2018,"기타 재활용, 폐건전지"
지니빌,대구광역시 중구 국채보상로 736-28,2018,"기타 재활용, 폐건전지"
트루빌,대구광역시 중구 국채보상로143길 34-4,2018,"기타 재활용, 폐건전지"
아라빌리지,대구광역시 중구 경상감영길 285-4,2018,"기타 재활용, 폐건전지"
스카이,대구광역시 중구 경상감영길 285-8,2018,"기타 재활용, 폐건전지"
부자패밀리,대구광역시 중구 경상감영길 285-10,2018,"기타 재활용, 폐건전지"
강락원,대구광역시 중구 경상감영길 292,2018,"기타 재활용, 폐건전지"
아름드리,대구광역시 중구 국채보상로657-2,2018,"기타 재활용, 폐건전지"
에이스빌라,대구광역시 중구 국채보상로657-3,2018,"기타 재활용, 폐건전지"
프라임,대구광역시 중구 국채보상로 657-4,2018,"기타 재활용, 폐건전지"
제네시티,대구광역시 중구 경상감영길 286-25,2018,"기타 재활용, 폐건전지"
더세븐스타,대구광역시 중구 경상감영길 286-27,2018,"기타 재활용, 폐건전지"
팰리스,대구광역시 중구 경상감영길 286-29,2018,"기타 재활용, 폐건전지"
서울파크빌,대구광역시 중구 국채보상로 657-8,2018,"기타 재활용, 폐건전지"
동남맨션,대구광역시 중구 국채보상로143길 74,2018,"기타 재활용, 폐건전지"
동인빌라,대구광역시 중구 국채보상로143길 74-15,2018,"기타 재활용, 폐건전지"
아트리움빌,대구광역시 중구 국채보상로142길 16,2018,"기타 재활용, 폐건전지"
선빌리지,대구광역시 중구 국채보상로142길 12,2018,"기타 재활용, 폐건전지"
리더빌,대구광역시 중구 국채보상로142길 35,2018,"기타 재활용, 폐건전지"
하나빌라트,대구광역시 중구 국채보상로142길 33-10,2018,"기타 재활용, 폐건전지"
에녹빌,대구광역시 중구 국채보상로142길 43,2018,"기타 재활용, 폐건전지"
킹,대구광역시 중구 국채보상로152길 38-11,2018,"기타 재활용, 폐건전지"
엘리제,대구광역시 중구 공평로20길 29-5,2018,"기타 재활용, 폐건전지"
미래빌,대구광역시 중구 국채보상로131길 73,2018,"기타 재활용, 폐건전지"
나우빌,대구광역시 중구 국채보상로131길 71,2018,"기타 재활용, 폐건전지"
미소드림빌,대구광역시 중구 국채보상로131길 75,2018,"기타 재활용, 폐건전지"
성원정,대구광역시 중구 공평로20길 11,2018,"기타 재활용, 폐건전지"
그린빌,대구광역시 중구 공평로20길 49,2018,"기타 재활용, 폐건전지"
펠리스,대구광역시 중구 공평로20길 37-15,2018,"기타 재활용, 폐건전지"
스마일빌라,대구광역시 중구 공평로 37-12,2018,"기타 재활용, 폐건전지"
주은빌,대구광역시 중구 국채보상로 679-8,2018,"기타 재활용, 폐건전지"
카멜리아,대구광역시 중구 국채보상로 679-11,2018,"기타 재활용, 폐건전지"
샤인빌,대구광역시 중구 동덕로 198-32,2018,"기타 재활용, 폐건전지"
신축,대구광역시 중구 국채보상로140길 32,2018,"기타 재활용, 폐건전지"
동화장,대구광역시 중구 동덕로30길 63-5,2018,"기타 재활용, 폐건전지"
메를린,대구광역시 중구 국채보상로140길 24-3,2018,"기타 재활용, 폐건전지"
제넥스빌,대구광역시 중구 국채보상로143길 67-25,2018,"기타 재활용, 폐건전지"
동인하이빌,대구광역시 중구 태평로51길 8-16,2018,"기타 재활용, 폐건전지"
원룸,대구광역시 중구 태평로275-34,2018,"기타 재활용, 폐건전지"
아이리스,대구광역시 중구 태평로283-17,2018,"기타 재활용, 폐건전지"
동인은하빌,대구광역시 중구 태평로 275-15,2018,"기타 재활용, 폐건전지"
중구청,대구광역시 중구 국채보상로139길 1,2018,"기타 재활용, 폐건전지"
상우하이빌,대구광역시 중구 달구벌대로443길 25-16,2018,"기타 재활용, 폐건전지"
그레이스,대구광역시 중구 동덕로26길 34-20,2018,"기타 재활용, 폐건전지"
율하우스,대구광역시 중구 동덕로26길 66,2018,"기타 재활용, 폐건전지"
이석빌라트,대구광역시 중구달구벌대로443길 8-11,2018,"기타 재활용, 폐건전지"
웰빙하우스,대구광역시 중구 달구벌대로445길 20,2018,"기타 재활용, 폐건전지"
글로리아,대구광역시 중구 동덕로 123-12,2018,"기타 재활용, 폐건전지"
아리스빌,대구광역시 중구 국채보상로150길 85-11,2018,"기타 재활용, 폐건전지"
아인아트빌,대구광역시 중구 국채보상로150길 77,2018,"기타 재활용, 폐건전지"
에어빌,대구광역시 중구 달구벌대로445길 27,2018,"기타 재활용, 폐건전지"
솔레미오,대구광역시 중구 달구벌대로445길 31,2018,"기타 재활용, 폐건전지"
대영빌라트,대구광역시 중구 동덕로123-23,2018,"기타 재활용, 폐건전지"
현대하이츠,대구광역시 중구 국채보상로150길 76-19,2018,"기타 재활용, 폐건전지"
진성하이츠,대구광역시 중구 국채보상로150길 76-30,2018,"기타 재활용, 폐건전지"
대운시티,대구광역시 중구 공평로10길 30-35,2018,"기타 재활용, 폐건전지"
소라,대구광역시 중구 공평로10길 37-14,2018,"기타 재활용, 폐건전지"
